Longitude,Latitude,depth,Band_1,Band_2,Band_3,Band_4
113.0675514,34.84720872,3.355,1030,1183,1362,1047
113.0660645,34.84685405,3.73,1059,1222,1383,947
113.0629585,34.83990035,1.3325,901,1015,1008,723
113.0633657,34.83953272,1.9175,856,981,921,709
113.065009,34.84421593,4.0775,1015,1155,1348,1072
113.0690005,34.84723692,1.9,1049,1181,1355,1002
113.0667838,34.84691143,3.7275,1037,1155,1357,1045
113.0643506,34.84409996,5.05,1043,1185,1362,983
113.0622268,34.84099154,3.7,1034,1136,1325,1084
113.0657867,34.84673113,4.12,1072,1180,1377,976
113.0596955,34.84063488,1.6875,1050,1207,1383,979
113.0637807,34.83934058,3.37,956,1068,1116,1061
113.0729119,34.8489219,0.8925,1033,1182,1371,1031
113.0657729,34.84673447,4.105,1072,1180,1377,976
113.0618397,34.84223115,3.2725,1061,1194,1375,964
113.0624521,34.84349502,2.2575,1048,1189,1362,949
113.0618276,34.84155069,4.9075,1034,1174,1358,1000
113.0621654,34.83767276,3.0275,830,886,844,927
113.0677613,34.84742776,3.715,1047,1178,1373,1015
113.0603183,34.84128287,1.4025,1044,1194,1371,984
113.063599,34.84263696,3.74,1028,1162,1350,1071
113.0612891,34.84186809,4.0175,1049,1181,1375,966
113.0624162,34.83886043,3.245,818,869,793,724
113.0632258,34.84219075,4.055,1027,1140,1335,1076
113.069321,34.83855918,3.0125,1017,1174,1326,1164
113.0622877,34.83989923,2.0725,840,919,861,777
113.0653229,34.8436723,2.7425,1033,1178,1367,1058
113.0589702,34.82912356,3.2875,805,863,801,866
113.0648984,34.84318453,2.895,1028,1144,1346,1030
113.071518,34.85074144,2.115,1053,1151,1360,1047
113.0631685,34.84452447,1.975,1069,1203,1402,1019
113.0714872,34.84919792,2.36,1048,1198,1391,966
113.0670816,34.84445472,1.33,1044,1169,1357,994
113.0697219,34.84810237,2.3225,1048,1180,1386,986
113.0615865,34.84041952,8.1625,1018,1150,1291,1039
113.0650498,34.84411452,3.95,1032,1143,1348,1063
113.0673338,34.84621085,3.015,1042,1159,1361,1026
113.0683782,34.84778776,4.18,1049,1156,1355,1030
113.0603473,34.84123104,1.835,1044,1194,1371,984
113.0671235,34.84584372,2.965,1026,1163,1372,1054
113.0618619,34.83782702,3.365,802,865,794,736
113.0621463,34.83774199,3.085,830,886,844,927
113.0626738,34.84428916,1.2475,1057,1207,1402,1001
113.067635,34.84742148,3.14,1052,1162,1355,1019
113.0721158,34.84987006,1.9375,1060,1198,1377,991
113.0623375,34.83883343,3.21,835,873,807,724
113.0627631,34.84277281,3.3775,1033,1194,1360,992
