Longitude,Latitude,Elevation,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_10,Band_11,Band_12
104.27458190918,30.2991313934326,20.32,-5.744552527,-5.596213982,-5.638557321,-5.718312619,-5.782822376,-5.274541068,-5.509039119,-6.196451852,2.82209140192763,3.42879968884258,0.823055196578208
104.27530670166,30.2992248535156,20.45,-5.60103783,-5.374992585,-5.556756744,-5.906544703,-5.584636469,-5.200473102,-5.511521876,-6.13945284,2.98058284716263,3.4592269607209,0.861632636715307
104.27458190918,30.2992210388184,20.93,-5.74347712,-5.475226208,-5.552642228,-5.717644241,-5.781233404,-5.274541068,-5.444252079,-6.256219265,2.90754241621465,3.46079887601661,0.840136199871064
104.27458190918,30.2992210388184,21.1,-5.74347712,-5.475226208,-5.552642228,-5.717644241,-5.781233404,-5.274541068,-5.444252079,-6.256219265,2.90754241621465,3.46079887601661,0.840136199871064
104.27458190918,30.2992210388184,21.43,-5.74347712,-5.475226208,-5.552642228,-5.717644241,-5.781233404,-5.274541068,-5.444252079,-6.256219265,2.90754241621465,3.46079887601661,0.840136199871064
104.274787902832,30.299222946167,24.74,-5.598060117,-5.406447475,-5.478419684,-5.527860749,-5.618827299,-5.199043349,-5.509039119,-6.259882351,2.95744839611108,3.48984527262466,0.847443988222099
104.275520324707,30.2992267608643,19.28,-5.926357124,-5.481330785,-6.286655081,-6.07223713,-5.515925218,-5.177326544,-5.694353018,-6.402965317,2.90315870505742,3.23900181794983,0.896312774191344
104.275100708008,30.299222946167,25.14,-5.59936795,-5.556654724,-5.479373781,-5.719980837,-5.658578306,-5.020873223,-5.511521876,-6.196598193,2.84969621699859,3.48946354811799,0.81665739667507
104.275413513184,30.2992248535156,19.27,-5.925065088,-5.218654719,-5.832684374,-6.07223713,-6.16244036,-5.200376156,-5.693755882,-6.2622106,3.09834395039904,3.36271018219511,0.921382986498259
104.274787902832,30.2993125915527,24.74,-5.597132503,-5.405172365,-5.372895216,-5.493663417,-5.655157603,-5.040548993,-5.508293362,-6.257717018,2.95838246196697,3.53342193636026,0.837257059940701
104.274688720703,30.2993125915527,23.78,-5.742191045,-5.475226208,-5.478284096,-5.527860749,-5.695761061,-5.104169795,-5.476300936,-6.256883091,2.90754241621465,3.4898995378054,0.833130691791499
104.275619506836,30.29931641,19.27,-5.926102177,-5.735317861,-6.003918517,-6.071041941,-5.660756752,-5.332596348,-5.694801078,-6.481539013,2.72769708564696,3.31122156906075,0.823773652338429
104.275413513184,30.2994060516357,19.56,-5.92248623,-5.477973294,-5.881645485,-5.855048118,-5.69948525,-5.199803036,-5.819526801,-6.2622106,2.90556879397037,3.34735575805853,0.868019118366912
104.274993896484,30.2994937896729,25.14,-5.596766921,-5.77805327,-5.406681912,-5.851416039,-5.545722051,-4.979517283,-5.577389644,-6.557101287,2.69955561871063,3.51917553851868,0.767098881304156
104.275199890137,30.2994956970215,24.82,-5.598249288,-5.731172523,-5.637604203,-5.718477338,-5.619570647,-5.040546402,-5.775443485,-6.39661885,2.73044860137453,3.42914525034195,0.796247578343977
104.275726318359,30.2994079589844,19.14,-5.925838007,-5.784688191,-5.685893409,-6.014648684,-5.660756752,-5.332706228,-6.02188941,-6.563643227,2.69522343086991,3.41190052530798,0.789947834316367
104.27530670166,30.2994956970215,24.74,-5.64331967,-5.556492068,-5.994710275,-5.762021209,-5.620321391,-5.128494597,-6.073157777,-6.39661885,2.84981039957022,3.31383521102366,0.859973480301663
104.275619506836,30.2994976043701,19.14,-5.923511119,-5.735317861,-5.558378651,-6.011502849,-5.661381496,-5.250035714,-6.1360456,-6.563872331,2.72769708564696,3.45860842359805,0.788668953396374
104.275726318359,30.2994976043701,19.17,-5.924546685,-5.784688191,-5.641608271,-6.013524817,-5.9812741,-5.332050408,-6.2034081,-6.563872331,2.69522343086991,3.42769495046814,0.786307845306307
104.275726318359,30.2994976043701,19.5,-5.924546685,-5.784688191,-5.641608271,-6.013524817,-5.9812741,-5.332050408,-6.2034081,-6.563872331,2.69522343086991,3.42769495046814,0.786307845306307
104.274475097656,30.2994918823242,21.17,-5.739397846,-5.402064314,-5.590023846,-5.714482201,-5.692854472,-5.103823564,-5.325244436,-6.024200663,2.96066056103419,3.44666393639441,0.858993106282178
104.27458190918,30.2994918823242,22.44,-5.740257676,-5.402064314,-5.59276776,-5.714482201,-5.655157603,-5.103736546,-5.381447781,-6.132826742,2.96066056103419,3.4456393147581,0.859248543036215
104.275619506836,30.2994976043701,18.94,-5.923511119,-5.735317861,-5.558378651,-6.011502849,-5.661381496,-5.250035714,-6.1360456,-6.563872331,2.72769708564696,3.45860842359805,0.788668953396374
104.275726318359,30.2994976043701,18.94,-5.924546685,-5.784688191,-5.641608271,-6.013524817,-5.9812741,-5.332050408,-6.2034081,-6.563872331,2.69522343086991,3.42769495046814,0.786307845306307
104.274681091309,30.29958153,24.31,-5.738975732,-5.270969578,-5.874924007,-5.714813584,-5.692854472,-5.03819905,-5.541346165,-6.132091116,3.05843455028051,3.349433155,0.913120044050171
104.274475097656,30.29958153,21.64,-5.738328037,-5.435273151,-5.475163963,-5.632111295,-5.653761031,-5.058717618,-5.472585948,-6.023542656,2.93641788220807,3.49114949905738,0.841103448305756
104.275512695312,30.2995872497559,19.1,-5.746942426,-5.517971363,-5.775491511,-5.854284157,-5.659976011,-5.249132103,-6.199163154,-6.65384897,2.87700645409256,3.38130606310703,0.85085656264104
104.27530670166,30.2996768951416,21.12,-5.64331967,-5.638139255,-5.637604203,-5.952351118,-5.656550431,-5.082111915,-6.197916244,-6.397383894,2.79319864961167,3.42914525034195,0.814546613134317
104.275718688965,30.2996788024902,19.13,-5.747587991,-5.639396989,-5.998155734,-6.068190194,-5.981057735,-5.199610212,-6.021467841,-6.561375484,2.79233771696455,3.31285524310433,0.842879483725336
104.274887084961,30.2996730804443,25.12,-5.640021257,-5.63438138,-6.055202461,-5.758017933,-5.734886261,-4.99792108,-5.812921483,-6.253387782,2.79577298908104,3.29697802541544,0.847980474097566
104.274787902832,30.2996730804443,24.93,-5.640212177,-5.512113586,-6.120122061,-5.75576404,-5.69349974,-4.998309231,-5.769607033,-6.078282233,2.88116899611157,3.27969370489054,0.878487217210344
104.275413513184,30.2996768951416,20.53,-5.744779406,-5.638139255,-5.72645251,-6.005690132,-5.619420508,-5.223574227,-6.197916244,-6.648154676,2.79319864961167,3.39782737505828,0.822054313328311
104.27458190918,30.2996711730957,23.72,-5.738117148,-5.302962422,-5.511112772,-5.488894214,-5.575715863,-5.03819905,-5.726233841,-6.023141907,3.03427462859542,3.47688935238786,0.87269807033449
104.274681091309,30.2996730804443,24.34,-5.737906447,-5.302962422,-5.675213334,-5.490083186,-5.69269133,-5.017460739,-5.726233841,-6.131506004,3.03427462859542,3.41566847612247,0.888339910564149
104.275512695312,30.2996768951416,19.61,-5.745864228,-5.639753993,-5.881241353,-5.901314278,-5.619269044,-5.223574227,-6.197916244,-6.56160407,2.79209340614421,3.34748038988152,0.834088054580965
104.275619506836,30.299768447876,19.29,-5.74564395,-5.639396989,-6.360898876,-6.415353006,-5.51175096,-5.199610212,-6.196418357,-6.325810177,2.79233771696455,3.22246570079007,0.866522090919365
104.275199890137,30.2997665405273,23.92,-5.641378743,-5.475842755,-5.478287887,-5.952351118,-6.03027301,-5.04014043,-5.727933101,-6.555973183,2.90709933009867,3.48989802056241,0.833004091515024
104.275718688965,30.299768447876,19.97,-5.746509097,-5.639396989,-5.998155734,-6.604712584,-5.51175096,-5.199418269,-6.075349867,-6.560013619,2.79233771696455,3.31285524310433,0.842879483725336
104.274993896484,30.2998542785645,25.18,-5.638855749,-5.63438138,-5.930123075,-5.755589607,-5.82300079,-5.017381061,-5.768797168,-6.470125327,2.79577298908104,3.33265667343963,0.838902192164766
104.275199890137,30.2998561859131,22.68,-5.640409624,-5.474175563,-5.593382045,-5.947501587,-6.03027301,-5.082111915,-5.727933101,-6.552601059,2.90829764713482,3.44541017208191,0.844107813548788
104.275199890137,30.2998561859131,23.87,-5.640409624,-5.474175563,-5.593382045,-5.947501587,-6.03027301,-5.082111915,-5.727933101,-6.552601059,2.90829764713482,3.44541017208191,0.844107813548788
104.275619506836,30.2998580932617,20.18,-5.744567224,-5.683392109,-6.363551666,-6.415353006,-5.51175096,-5.199133334,-6.196418357,-6.325810177,2.76243873258284,3.22189237834757,0.857396339849074
104.275405883789,30.2998580932617,20.92,-5.742629114,-5.514965431,-5.679543241,-5.899508605,-5.579441065,-5.22259646,-6.195424808,-6.321895867,2.87914159047246,3.41413773709495,0.843299776453157
104.275619506836,30.2998580932617,20.19,-5.744567224,-5.683392109,-6.363551666,-6.415353006,-5.51175096,-5.199133334,-6.196418357,-6.325810177,2.76243873258284,3.22189237834757,0.857396339849074
104.274574279785,30.2998523712158,24.93,-5.735981408,-5.398406587,-5.588960916,-5.631042902,-5.574999578,-4.976778615,-5.767027708,-5.924314122,2.96334397441382,3.44706132518727,0.859672542742717
104.275199890137,30.2999458312988,23.62,-5.639441575,-5.633850418,-5.77127764,-5.847988228,-6.028910214,-5.196562046,-5.812410251,-6.470125327,2.79613697098993,3.38270467126877,0.82659801629717
104.27530670166,30.2999477386475,21.06,-5.640409624,-5.633850418,-5.592315291,-5.899508605,-6.028683246,-5.196657781,-6.069644404,-6.321895867,2.79613697098993,3.44580815259265,0.811460431680185
104.274887084961,30.2999439239502,25.6,-5.637113853,-5.997432937,-6.116233915,-5.71365193,-5.54114567,-5.147350122,-5.767182417,-6.389747467,2.56171123094404,3.28070581802738,0.780841493579679
104.274993896484,30.2999458312988,25.57,-5.637889137,-5.775584117,-5.930123075,-5.71365193,-5.822080975,-5.147802288,-5.767182417,-6.470125327,2.70117036678934,3.33265667343963,0.810515643065468
