Longitude,Latitude,depth,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_10
104.267219543457,30.3238143920898,11.33,-4.753508356,-4.780625616,-4.789924841,-4.664712467,-4.488963332,-4.080219326,-4.233565504,-4.719412853,3.45033792620435
104.267433166504,30.323184967041,8.89,-4.738640422,-5.013943906,-5.019979068,-4.760444069,-4.607637728,-4.147685221,-4.451133203,-4.854684342,3.25907670972086
104.268135070801,30.3129920959473,20.16,-5.217655189,-5.51238673,-5.792643175,-5.431555671,-5.329038477,-5.004504474,-5.283932485,-5.714124955,2.88097474295283
104.26732635498,30.32399559,11.73,-4.99481072,-4.85678309,-5.059753556,-4.664109787,-4.441384185,-4.025437404,-4.224356531,-4.613586639,3.38703233933278
104.258674621582,30.3126678466797,20.69,-5.275931875,-5.126578573,-5.609543302,-5.365924578,-4.880662187,-4.623237137,-4.950112444,-5.333222871,3.16976348364141
104.267791748047,30.3168697357178,25.52,-4.866168836,-4.909145665,-5.313980774,-5.060564612,-4.874752793,-4.633415485,-4.837388424,-5.545146927,3.34398760217571
104.257949829102,30.3124828338623,23.92,-5.238712482,-5.425142037,-5.739273158,-5.203620487,-5.097994232,-4.721910221,-4.842397402,-5.410944989,2.94379060114273
104.273223876953,30.3004760742188,12.92,-5.717570427,-5.575484243,-5.908466419,-6.035034758,-5.368455433,-5.009183705,-5.493035109,-5.826076202,2.83651565637135
104.269607543945,30.3103828430176,23.02,-5.514531896,-5.311442313,-5.461305519,-5.690398232,-5.226695862,-5.090181086,-5.371926819,-6.007275924,3.02790275791959
104.262504577637,30.3152160644531,26.96,-5.068760082,-5.052650919,-5.388774952,-5.258973034,-5.101461718,-4.636975719,-4.688221233,-5.2830834,3.22815007597837
104.273391723633,30.3057117462158,12.92,-5.659222417,-5.488517748,-6.023438415,-5.972751668,-5.130893313,-4.742480803,-4.896562248,-5.245750968,2.89800741316487
104.273620605469,30.3022842407227,22.36,-5.650546646,-5.891974034,-6.070216955,-5.910976588,-5.551376158,-5.202683356,-5.420813716,-5.999626934,2.62657240945197
104.262344360352,30.3084468841553,11.08,-5.357146444,-5.63999329,-5.802261731,-5.501237148,-5.176360197,-4.966961514,-5.09488288,-5.268667768,2.79192966207564
104.268829345703,30.3175983428955,21.01,-4.912425836,-4.867881562,-5.314166213,-5.017081886,-4.711470904,-4.60463142,-4.804557225,-5.094042417,3.37787543604436
104.271118164062,30.3035335540771,10.05,-5.335085798,-5.61354,-5.913204267,-5.737285609,-5.257695746,-4.808522984,-5.213244058,-5.400034923,2.81010556773606
104.267646789551,30.3230953216553,8.49,-4.740321518,-4.844083011,-5.0442488,-4.761299907,-4.70980216,-4.23732751,-4.451639096,-4.92178159,3.39753239026733
104.273826599121,30.3029155731201,18.9,-5.645276823,-5.943600027,-6.064801317,-6.131444994,-5.619772088,-5.151734368,-5.448349452,-6.101592821,2.5944915485107
104.268783569336,30.3102874755859,18.11,-5.253376798,-5.338020703,-5.698713233,-5.401891331,-5.550352245,-5.110138555,-5.36687805,-6.109638232,3.00801898
104.267013549805,30.3236331939697,7.59,-4.714813893,-4.710409059,-4.885170202,-4.709485287,-4.4893191,-4.15462235,-4.206437222,-4.836629373,3.50940883766126
104.273727416992,30.3019237518311,22.74,-5.812885258,-5.605377146,-5.952792656,-5.688415425,-5.55459565,-5.181837792,-5.485115817,-6.227032271,2.81574451205083
104.269958496094,30.3053321838379,27.54,-5.792943905,-5.824874262,-5.937843296,-5.897085197,-5.381115604,-5.24912634,-5.692838202,-6.174555359,2.66919856539701
104.268951416016,30.315523147583,18.72,-5.027261382,-5.140027575,-5.433912459,-5.215462692,-5.024176862,-4.601179942,-4.976973305,-5.52837335,3.15924022344078
104.270080566406,30.3169727325439,6.42,-4.856841656,-4.942320585,-5.266797549,-5.137314616,-4.830894642,-4.508094196,-4.491258736,-5.041271007,3.31692630438878
104.274147033691,30.3019256591797,21.29,-5.937669751,-5.565969297,-6.492494681,-6.025206065,-5.94378324,-5.367286276,-5.45726143,-5.780907371,2.84316676078016
104.274040222168,30.302375793457,23.71,-5.651725005,-6.154210472,-6.835634296,-5.963355027,-5.626082777,-5.22857638,-5.551507363,-6.224925549,2.47022405200123
104.257019042969,30.3115749359131,17.11,-5.21096286,-5.294877233,-5.422281608,-5.28228448,-4.917284313,-4.62220298,-4.761822345,-5.211798376,3.0403623983819
104.266342163086,30.3162307739258,19.63,-5.005699555,-5.116728555,-5.193058169,-5.246771773,-4.837988425,-4.501743229,-4.853355169,-5.608080544,3.17749016682308
104.273620605469,30.3028259277344,18.6,-5.644687701,-6.073198747,-6.064801317,-5.762935403,-5.447087114,-5.129511785,-5.480759494,-6.217705649,2.51675275000157
104.262237548828,30.3087177276611,9.8,-5.354887335,-5.593373914,-5.53025279,-5.402445149,-5.276744498,-4.890663803,-4.777328957,-5.267837683,2.82406220819785
104.267204284668,30.3122634887695,18.07,-5.250041161,-5.304088934,-5.532514251,-5.529230264,-5.058795363,-5.00344253,-5.071799804,-5.541232019,3.0334273833116
104.267501831055,30.3146114349365,21.75,-5.053263737,-4.947589002,-5.334693222,-5.215153266,-4.9816954,-4.776515116,-4.99536121,-5.527541648,3.31264406700825
104.268455505371,30.3121814727783,16.95,-5.168454236,-5.168288389,-5.504169539,-5.296401307,-5.427838946,-5.030179213,-5.035055797,-5.648030189,3.13722834683304
104.258071899414,30.309326171875,9.74,-5.094789256,-5.330256041,-5.289820994,-5.064296209,-4.792954388,-4.347657393,-4.575620972,-5.000646667,3.01381408921385
104.271438598633,30.3021812438965,24.87,-5.588660606,-5.508366551,-6.190081656,-5.669828262,-5.822248845,-5.059208267,-5.575245582,-5.492716521,2.88383533953658
104.272148132324,30.3050727844238,12.57,-5.520421226,-5.415164348,-6.498760323,-5.574536815,-5.364190218,-4.71147506,-4.988676195,-5.292683977,2.95107150047665
104.271949768066,30.3037185668945,7.77,-5.303473129,-5.424911054,-5.810140149,-5.83403601,-4.802903819,-4.511067502,-4.781215695,-4.536231398,2.94395893166909
104.270690917969,30.3049736022949,18.37,-5.749010886,-5.8897446,-6.141687638,-5.905102729,-5.359358089,-5.452201211,-5.585344646,-5.967210497,2.62797189021469
104.264984130859,30.3169441223145,25.05,-4.919221855,-5.028943641,-5.295901107,-5.044764308,-4.763080024,-4.756430453,-4.731676753,-5.470990831,3.24706349596288
